region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,2019-10-01,6,2.7263888888888888,84.51805555555555
dalarna,2019-11-01,0,1.0980092592592594,32.94027777777778
dalarna,2019-12-01,0,0.7662903225806451,23.755
dalarna,2020-01-01,0,1.7354749103942653,53.79972222222222
dalarna,2020-02-01,8,3.4138505747126437,99.00166666666667
dalarna,2020-03-01,10,4.804713261648746,148.94611111111112
dalarna,2020-04-01,20,8.408351851851853,252.25055555555556
dalarna,2020-05-01,24,8.66983870967742,268.765
dalarna,2020-06-01,28,12.844398148148148,385.33194444444445
dalarna,2020-07-01,18,6.977876344086021,216.31416666666667
dalarna,2020-08-01,25,9.14760752688172,283.5758333333333
dalarna,2020-09-01,11,4.526277777777778,135.78833333333333
dalarna,2020-10-01,5,2.016989247311828,62.526666666666664
dalarna,2020-11-01,4,1.709527777777778,51.285833333333336
dalarna,2020-12-01,0,0.3888351254480287,12.053888888888888
dalarna,2021-01-01,3,1.5646684587813622,48.50472222222223
dalarna,2021-02-01,7,3.336875,93.4325
dalarna,2021-03-01,13,4.348799283154121,134.81277777777777
dalarna,2021-04-01,25,9.24212962962963,277.2638888888889
dalarna,2021-05-01,14,5.585224014336918,173.14194444444445
dalarna,2021-06-01,20,9.085444444444445,272.56333333333333
dalarna,2021-07-01,25,10.956989247311828,339.6666666666667
dalarna,2021-08-01,15,6.461586021505377,200.30916666666667
dalarna,2021-09-01,13,4.732055555555556,141.96166666666667
dalarna,2021-10-01,6,2.565797491039427,79.53972222222222
dalarna,2021-11-01,3,1.8964814814814814,56.894444444444446
dalarna,2021-12-01,0,1.6278494623655912,50.46333333333333
dalarna,2022-01-01,1,1.9952240143369175,61.85194444444444
dalarna,2022-02-01,11,4.372251984126984,122.42305555555555
dalarna,2022-03-01,26,8.279749103942653,256.6722222222222
dalarna,2022-04-01,22,8.945444444444444,268.36333333333334
dalarna,2022-05-01,22,8.825672043010753,273.59583333333336
dalarna,2022-06-01,21,8.714601851851851,261.43805555555554
dalarna,2022-07-01,21,8.16086917562724,252.98694444444445
dalarna,2022-08-01,20,7.877652329749104,244.2072222222222
dalarna,2022-09-01,9,4.083481481481481,122.50444444444445
dalarna,2022-10-01,10,3.997652329749104,123.92722222222223
dalarna,2022-11-01,2,0.660287037037037,19.80861111111111
dalarna,2022-12-01,0,1.3000806451612903,40.3025
dalarna,2023-01-01,3,1.7405645161290322,53.957499999999996
dalarna,2023-02-01,12,4.112152777777778,115.14027777777778
dalarna,2023-03-01,17,5.878270609318997,182.2263888888889
dalarna,2023-04-01,19,7.542814814814815,226.28444444444443
dalarna,2023-05-01,26,11.892732974910395,368.6747222222222
dalarna,2023-06-01,27,12.695092592592593,380.85277777777776
dalarna,2023-07-01,19,7.098431899641577,220.05138888888888
dalarna,2023-08-01,8,3.5944713261648746,111.42861111111111
dalarna,2023-09-01,14,5.24087962962963,157.2263888888889
dalarna,2023-10-01,11,3.274758064516129,101.5175
dalarna,2023-11-01,1,0.6345648148148147,19.036944444444444
dalarna,2023-12-01,0,1.0825268817204303,33.55833333333334
